input,level,output
0,0,2504.652
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
927.52692,742.02154,0
263.14926,952.54094,0
0,952.54094,0
0,952.54094,0
0,952.54094,0
0,952.54094,0
0,952.54094,0
0,952.54094,0
0,952.54094,0
3779.3422,3976.0147,0
10003.497,11978.812,0
12202.864,21741.103,0
12799,31980.303,0
12799,42219.503,0
8062.4741,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
0,48669.482,0
978.22101,49452.059,0
363.06495,49742.511,0
1404.9825,50866.497,0
2506.6032,52871.78,0
4140.0381,56183.81,0
1389.1361,57295.119,0
0,57295.119,0
0,57295.119,0
0,57295.119,0
0,57295.119,0
6950.3717,62855.416,0
12557.444,72901.372,0
12799,83140.572,0
9762.1118,90950.261,0
342.17378,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91172.113,41.50993
0,91172.113,0
0,91172.113,0
0,91172.113,0
0,91172.113,0
0,91172.113,0
0,91172.113,0
0,91172.113,0
0,91172.113,0
0,91172.113,0
0,91172.113,0
64.859265,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,82829.543,6715.5658
0,66830.793,12799
0,50832.043,12799
0,34833.293,12799
0,19836.092,11997.761
0,7843.0505,9594.4328
0,0,6274.4404
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5869.6941,4695.7553,0
12700.426,14856.096,0
12799,25095.296,0
12799,35334.496,0
3381.2673,38039.51,0
7550.5582,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
0,44079.956,0
9356.3179,51565.011,0
12799,61804.211,0
12799,72043.411,0
11176.737,80984.8,0
12799,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,82144.896,7263.2836
0,82144.896,0
0,82144.896,0
0,82144.896,0
2003.7728,83747.914,0
5152.0619,87869.563,0
3325.4518,90529.925,0
867.59408,91224,0
0,91224,0
0,91224,0
0,83939.845,5827.3243
0,73569.378,8296.3735
0,68884.411,3747.9734
0,68884.411,0
0,68884.411,0
0,68884.411,0
0,68884.411,0
0,68884.411,0
0,68884.411,0
0,68884.411,0
0,68884.411,0
0,68884.411,0
0,68884.411,0
0,61677.31,5765.6808
0,59648.098,1623.3693
0,59648.098,0
0,59648.098,0
6874.7811,65147.923,0
12799,75387.123,0
12799,85626.323,0
6997.096,91224,0
0,91224,0
0,91224,0
0,91224,0
0,82659.364,6851.7092
