input,level,output
0,"272,29","127,99"
0,"112,3025","127,99"
0,0,"89,842"
0,0,0
0,0,0
0,0,0
"12,536697","10,029358",0
"58,56397","56,880533",0
"83,630888","123,78524",0
"86,512719","192,99542",0
"56,634012","238,30263",0
"35,179652","266,44635",0
0,"206,74862","47,758188"
0,"46,761116","127,99"
0,0,"37,408893"
"53,967346","43,173877",0
"127,99","145,56588",0
"127,99","247,95788",0
"127,99","350,34988",0
"127,99","452,74188",0
"127,99","555,13388",0
"60,687438","603,68383",0
0,"510,8874","74,237144"
0,"350,8999","127,99"
0,"190,9124","127,99"
0,"30,924898","127,99"
0,0,"24,739918"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"44,60575","35,6846",0
"71,914624","93,216299",0
"60,967798","141,99054",0
"69,2099","197,35846",0
"115,53337","289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
0,"289,78515",0
"87,384307","359,6926",0
"127,99","462,0846",0
"127,99","564,4766",0
"127,99","666,8686",0
"127,99","769,2606",0
"127,99","871,6526",0
"50,734252","912,24",0
0,"912,24",0
0,"840,88121","57,087029"
0,"698,19679","114,14754"
0,"590,49852","86,158618"
0,"520,98296","55,612448"
0,"465,52338","44,367665"
0,"381,08324","67,552113"
0,"342,56514","30,814479"
"6,7052788","347,92936",0
"48,844031","387,00458",0
"82,493124","452,99908",0
"99,670674","532,73562",0
"91,147458","605,65359",0
"37,416876","635,58709",0
0,"544,41863","72,93477"
0,"384,43113","127,99"
0,"224,44363","127,99"
0,"197,75752","21,348881"
"96,160285","274,68575",0
"127,99","377,07775",0
"127,99","479,46975",0
"127,99","581,86175",0
"127,99","684,25375",0
"42,257755","718,05996",0
0,"628,13669","71,938612"
0,"468,14919","127,99"
0,"308,16169","127,99"
0,"148,17419","127,99"
0,"9,4137592","111,00835"
0,0,"7,5310073"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"85,209784","68,167827",0
"86,250668","137,16836",0
"55,550556","181,60881",0
0,"181,60881",0
0,"181,60881",0
0,"136,24283","36,292784"
0,"25,718308","88,419615"
0,0,"20,574647"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"29,002583","23,202067",0
"57,328308","69,064713",0
"53,107866","111,55101",0
"45,552614","147,9931",0
"6,0627953","152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"152,84333",0
0,"132,54715","16,23695"
0,0,"106,03772"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"55,223777","44,179022",0
"127,99","146,57102",0
"127,99","248,96302",0
"127,99","351,35502",0
"127,99","453,74702",0
0,"453,74702",0
0,"370,5897","66,525858"
0,"212,33335","126,60508"
0,"145,85705","53,181043"
0,"134,54015","9,0535186"
"51,24145","175,53331",0
"63,661294","226,46234",0
"30,034749","250,49014",0
"11,723539","259,86897",0
"97,44821","337,82754",0
"63,747779","388,82576",0
0,"296,4364","73,911495"
0,"136,4489","127,99"
0,0,"109,15912"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"32,354471","25,883577",0
"127,99","128,27558",0
"127,99","230,66758",0
"127,99","333,05958",0
"127,99","435,45158",0
"127,99","537,84358",0
"127,99","640,23558",0
"127,99","742,62758",0
"127,99","845,01958",0
"84,025529","912,24",0
0,"912,24",0
0,"875,14071","29,679431"
0,"715,15321","127,99"
0,"555,16571","127,99"
0,"422,87191","105,83504"
0,"293,72163","103,32022"
0,"133,73413","127,99"
0,0,"106,98731"
0,0,0
0,0,0
0,0,0
